network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,postal_code,latitude,longitude
1.2.182.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.2.184.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.2.185.0/24,1150007,1605651,,0,0,92000,7.5611,99.5417
1.2.186.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.2.188.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.2.190.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.2.191.0/24,1153671,1605651,,0,0,50000,18.7904,98.9847
1.2.192.0/21,1605651,1605651,,0,0,,13.7500,100.4667
1.2.200.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.2.204.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.2.206.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.2.207.0/24,1150533,1605651,,0,0,,17.0078,99.8230
1.2.208.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.2.210.0/25,1609350,1605651,,0,0,10200,13.7540,100.5014
1.2.210.128/25,1605651,1605651,,0,0,,13.7500,100.4667
1.2.211.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.2.212.0/24,1616073,1605651,,0,0,,13.0128,100.9898
1.2.213.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.2.214.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.2.216.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.2.220.0/24,1609350,1605651,,0,0,10200,13.7540,100.5014
1.2.221.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.2.222.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.2.224.0/20,1605651,1605651,,0,0,,13.7500,100.4667
1.2.240.0/21,1605651,1605651,,0,0,,13.7500,100.4667
1.2.248.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.2.250.0/24,1611439,1605651,,0,0,,13.6882,101.0716
1.2.251.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.2.252.0/23,1608269,1605651,,0,0,39000,17.0409,102.3544
1.2.254.0/24,1605239,1605651,,0,0,,17.4157,102.7859
1.2.255.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.3.0.0/16,1809858,1814991,,0,0,,23.1167,113.2500
1.4.0.0/24,2077456,2077456,,0,0,,-27.0000,133.0000
1.4.1.0/24,1810821,1814991,,0,0,,26.0614,119.3061
1.4.2.0/23,1810821,1814991,,0,0,,26.0614,119.3061
1.4.4.0/24,1816670,1814991,,0,0,,39.9289,116.3883
1.4.5.0/24,1810821,1814991,,0,0,,26.0614,119.3061
1.4.6.0/23,1810821,1814991,,0,0,,26.0614,119.3061
1.4.8.0/21,1809858,1814991,,0,0,,23.1167,113.2500
1.4.16.0/20,1809858,1814991,,0,0,,23.1167,113.2500
1.4.32.0/19,1809858,1814991,,0,0,,23.1167,113.2500
1.4.64.0/18,1809858,1814991,,0,0,,23.1167,113.2500
1.4.128.0/24,1608133,1605651,,0,0,10250,13.8622,100.5134
1.4.129.0/24,1609350,1605651,,0,0,10200,13.7540,100.5014
1.4.130.0/24,1607001,1605651,,0,0,45000,16.0533,103.6539
1.4.131.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.4.132.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.4.134.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.4.135.0/24,1609350,1605651,,0,0,10200,13.7540,100.5014
1.4.136.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.4.138.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.4.139.0/25,1609350,1605651,,0,0,10110,13.7083,100.4562
1.4.139.128/25,1605651,1605651,,0,0,,13.7500,100.4667
1.4.140.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.4.142.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.4.143.0/24,1609350,1605651,,0,0,10200,13.7540,100.5014
1.4.144.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.4.146.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.4.147.0/25,1605651,1605651,,0,0,,13.7500,100.4667
1.4.147.128/25,1609350,1605651,,0,0,10200,13.7540,100.5014
1.4.148.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.4.149.0/24,1609350,1605651,,0,0,10200,13.7540,100.5014
1.4.150.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.4.152.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.4.154.0/24,1621008,1605651,,0,0,45160,15.8431,103.8784
1.4.155.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.4.156.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.4.157.0/24,1611110,1605651,,0,0,,13.3622,100.9835
1.4.158.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.4.160.0/23,1605239,1605651,,0,0,41000,17.1336,102.9675
1.4.162.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.4.164.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.4.168.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.4.170.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.4.171.0/25,1609336,1605651,,0,0,41110,17.1088,103.0149
1.4.171.128/25,1605239,1605651,,0,0,,17.4157,102.7859
1.4.172.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.4.176.0/24,1609350,1605651,,0,0,10200,13.7540,100.5014
1.4.177.0/24,1605239,1605651,,0,0,,17.4157,102.7859
1.4.178.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.4.180.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.4.182.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.4.183.0/24,1605239,1605651,,0,0,,17.4157,102.7859
1.4.184.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.4.188.0/24,1605239,1605651,,0,0,,17.4157,102.7859
1.4.189.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.4.190.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.4.192.0/24,1605239,1605651,,0,0,,17.4157,102.7859
1.4.193.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.4.194.0/24,1605239,1605651,,0,0,,17.4157,102.7859
1.4.195.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.4.196.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.4.198.0/23,1605239,1605651,,0,0,,17.4157,102.7859
1.4.200.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.4.202.0/23,1605239,1605651,,0,0,,17.4157,102.7859
1.4.204.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.4.206.0/24,1608133,1605651,,0,0,10250,13.8622,100.5134
1.4.207.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.4.208.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.4.210.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.4.211.0/24,1609350,1605651,,0,0,10200,13.7540,100.5014
1.4.212.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.4.213.0/25,1609350,1605651,,0,0,10200,13.7540,100.5014
1.4.213.128/25,1608133,1605651,,0,0,10250,13.8622,100.5134
1.4.214.0/25,1609350,1605651,,0,0,10200,13.7540,100.5014
1.4.214.128/25,1605651,1605651,,0,0,,13.7500,100.4667
1.4.215.0/24,1609350,1605651,,0,0,10220,13.8667,100.6000
1.4.216.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.4.217.0/24,1156311,1605651,,0,0,,13.7667,99.8500
1.4.218.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.4.219.0/24,1150954,1605651,,0,0,,13.5367,99.8171
1.4.220.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.4.224.0/21,1605651,1605651,,0,0,,13.7500,100.4667
1.4.232.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.4.236.0/24,1609350,1605651,,0,0,10200,13.7540,100.5014
1.4.237.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.4.238.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.4.240.0/20,1605651,1605651,,0,0,,13.7500,100.4667
1.5.0.0/16,1850147,1861060,,0,0,100-0001,35.6850,139.7514
